Song,Artist,Album
Black Sweat,Prince,Anthology: 1995-2010
To the Good Old Days,Dennis DeYoung,"26 East, Vol. 1"
Butterfly,Adrianne Lenker,Hours Were The Birds
Oreka,Berri Txarrak,Jaio.Musika.Hil
Northern Lights,Lebanon Hanover,Why Not Just Be Solo
Living Dead,Entombed,Clandestine
Souvenirs,Timber Timbre,Creep On Creepin' On
Am I Doing Right by You?,Ben Seretan,Youth Pastoral
I Ain't Goin' Out Like That,Cypress Hill,Black Sunday
"no body, no crime (feat. HAIM)",Taylor Swift,evermore
Harlem River,Kevin Morby,Harlem River
Dinner & Diatribes,Hozier,"Wasteland, Baby!"
VYZEE,Sophie,Vyzee
8080,Priroda,Ада
As We're Faking,Justice,A Two Minute Experience
Pale Horse,The Catheters,Mojo Presents: Up Yours! Punk's Not Dead
Darkness (Lonelyspeck remix),Katie Dey & Lonelyspeck,Urdata
King Kunta,Kendrick Lamar,To Pimp a Butterfly
Red Rain,The White Stripes,Get Behind Me Satan
With You,Flight Facilities,With You
Stranger Tonight,Uncle Acid & the Deadbeats,Wasteland
Courtesy Call,Thousand Foot Krutch,The End Is Where We Begin
Kuiil,Ludwig Goransson,The Mandalorian: Chapter 7 (Original Score)
Rick-O-Shay,The Tikis,Private Beach
Do You Want To,Franz Ferdinand,You Could Have It So Much Better
Adventure of a Lifetime,Coldplay,A Head Full of Dreams
Drops in the River,Fleet Foxes,"Live at Nationale Toneel Gebouw,Den Haag, The Netherlands 21.11.2008"
Nutshell,Alice in Chains,Unplugged
For Now,Twin Shadow,Forget
Den vänstra stranden,Kent,Då Som Nu För Alltid
I Can Only Give You Everything,Richard Hell & The Voidoids,Destiny Street
Barking,Ramz,Blockbuster
Seavolution (From Hotel Transylvania 3),Tiësto,Hotel Transylvania 3
Lockne,Slow Grave,Foam
sew.into.yew,Knxwledge,Kauliflowr
Aurora,Björk,Vespertine
Come Along,Titiyo,Come Along
To Build a Home,The Cinematic Orchestra,Ma Fleur
Darker Place,Rachel Chinouriri,Darker Place
UltimaVolta,F.MUSIC,UltimaVolta
Пятый Ангел (п.у. Зараза),Horus,Прометей роняет факел
Down to Wrestle,Datguy,Disguy Gets Dissed.... and Datguy’s all Dat!
Swan,Monica Heldal,Waiting On The Fire
Lift,Skullcrusher,Farm b/w Lift
so this is love,DAY6 (Even of Day),"bimil:ier vol.1 ""so this is love"""
Get Ready - Rapversion Edit,2 Unlimited,Get Ready
Keep Time,The Thermals,Fuckin A
"Lara's Theme (From ""Doctor Zhivago"")",The City of Prague Philharmonic Orchestra,The Essential Maurice Jarre Film Music Collection
Flor do lamaçal,Victor Chaves,Projeto VC
The Otherside,Cam,The Otherside
melt away,Alicks,Unwritten
El Cantar De La Luna Ascura,Mägo de Oz,Folktergeist
Tears From the Compound Eye,Boards of Canada,The Campfire Headphase
Every Single Day,Melt Yourself Down,100% Yes
We Could Form an Attachment,Kris Bowers,Bridgerton (Music from the Netflix Original Series)
Rest Calm,Nightwish,Imaginaerum
Need a Changin',Buffalo Killers,Alive and Well in Ohio
I Don't Think I'm Ever Gonna Figure It Out - Remixed and Remastered 2017,Elliott Smith,Either/Or (Expanded Edition)
Christine’s Tune,The Flying Burrito Brothers,The Gilded Palace Of Sin
Kaleidoscope,Elliott Jacqués,Kaleidoscope
Gypsy Woman,Crystal Waters,Basement Boys Anthology
Laidback,RAT BOY,SCUM
Break My Heart,Dua Lipa,Future Nostalgia
Foaming Love,Bedhead,1992-1998
Why Won't You Make Up Your Mind?,Tame Impala,Innerspeaker
Wait For It,Leslie Odom Jr.,Hamilton (Original Broadway Cast Recording)
Spin (feat. Jordan Rakei),Richard Spaven,Real Time
City Limit,Bill Jr. Jr.,Homebody
